Level,Region,Dataset,Kind,Period,18/19,19/20,20/21,21/22,22/23,23/24,24/25,25/26,26/27
state,AM,Anidro Estoque E.Disp,stock,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Disp,stock,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Disp,stock,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Disp,stock,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Disp,stock,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Disp,stock,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Disp,stock,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Estoque E.Fisico,stock,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Estoque E.Fisico,stock,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Producao,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Producao,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Distrib,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Distrib,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas M.Ext,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas M.Ext,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Anidro Saidas Outras,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Anidro Saidas Outras,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Cana,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Cana,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Cana,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Cana,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Cana,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Cana,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Cana,flow,Jul (1),0,0,5006,0,0,0,0.0,0,0.0
state,AM,Cana,flow,Jul (2),19729,31068,21055,0,0,0,0.0,0,0.0
state,AM,Cana,flow,Aug (1),22427,8888,36820,274,0,1783,5868.0,0,
state,AM,Cana,flow,Aug (2),35023,31550,35199,30639,37881,52873,52924.0,35263,
state,AM,Cana,flow,Sep (1),15455,34329,43534,27171,29299,49624,53296.0,51459,
state,AM,Cana,flow,Sep (2),36333,32704,26656,24565,51801,41155,48303.0,55675,
state,AM,Cana,flow,Oct (1),50952,29860,25330,42649,43343,54952,51088.0,49002,
state,AM,Cana,flow,Oct (2),36900,27850,42098,19557,39756,44190,57932.0,45655,
state,AM,Cana,flow,Nov (1),20056,37529,21653,44288,15576,46174,51076.0,48268,
state,AM,Cana,flow,Nov (2),0,35638,11406,30709,0,10017,41999.0,43147,
state,AM,Cana,flow,Dec (1),0,21032,12751,24334,0,0,3361.0,10037,
state,AM,Cana,flow,Dec (2),0,0,0,19259,0,0,0.0,0,
state,AM,Cana,flow,Jan (1),0,0,0,36154,0,0,0.0,0,
state,AM,Cana,flow,Jan (2),0,0,0,6710,0,0,0.0,0,
state,AM,Cana,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Cana,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Cana,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Cana,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Etanol Total,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,Jul (2),106,551,110,0,0,0,0.0,0,0.0
state,AM,Etanol Total,flow,Aug (1),564,284,1364,0,0,0,0.0,0,
state,AM,Etanol Total,flow,Aug (2),753,949,899,572,772,1004,936.0,570,
state,AM,Etanol Total,flow,Sep (1),212,585,1011,852,464,531,859.0,715,
state,AM,Etanol Total,flow,Sep (2),299,753,1270,786,644,934,983.0,823,
state,AM,Etanol Total,flow,Oct (1),1219,1015,1070,749,1120,1445,1087.0,1363,
state,AM,Etanol Total,flow,Oct (2),1172,920,1750,523,1007,1183,1040.0,1089,
state,AM,Etanol Total,flow,Nov (1),1143,1474,667,829,579,1140,1244.0,1262,
state,AM,Etanol Total,flow,Nov (2),0,1293,338,896,0,568,1077.0,1247,
state,AM,Etanol Total,flow,Dec (1),0,992,530,645,0,0,204.0,315,
state,AM,Etanol Total,flow,Dec (2),0,0,0,535,0,0,0.0,0,
state,AM,Etanol Total,flow,Jan (1),0,0,0,1035,0,0,0.0,0,
state,AM,Etanol Total,flow,Jan (2),0,0,0,275,0,0,0.0,0,
state,AM,Etanol Total,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Etanol Total,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Etanol Total,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Etanol Total,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Apr (1),1566,0,1297,2590,4265,3054,0.0,0,1075.0
state,AM,Hidratado Entradas,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Entradas,flow,Aug (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Aug (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Sep (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Sep (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Oct (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Oct (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Nov (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Nov (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Dec (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Dec (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Jan (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Jan (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Entradas,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Estoque E.Disp,stock,Apr (1),1365,0,994,2131,2143,2257,0.0,0,1001.0
state,AM,Hidratado Estoque E.Disp,stock,Apr (2),642,0,675,625,23,1990,0.0,0,1001.0
state,AM,Hidratado Estoque E.Disp,stock,May (1),358,0,556,555,23,1990,0.0,0,1001.0
state,AM,Hidratado Estoque E.Disp,stock,May (2),358,0,188,495,0,1980,0.0,0,977.0
state,AM,Hidratado Estoque E.Disp,stock,Jun (1),195,0,188,436,0,1980,0.0,0,205.0
state,AM,Hidratado Estoque E.Disp,stock,Jun (2),0,0,0,371,0,1980,0.0,0,0.0
state,AM,Hidratado Estoque E.Disp,stock,Jul (1),0,0,0,0,0,1980,0.0,0,0.0
state,AM,Hidratado Estoque E.Disp,stock,Jul (2),106,551,110,0,0,1970,0.0,0,0.0
state,AM,Hidratado Estoque E.Disp,stock,Aug (1),414,835,1414,0,0,1960,0.0,0,
state,AM,Hidratado Estoque E.Disp,stock,Aug (2),1073,1776,1691,542,742,2157,449.0,570,
state,AM,Hidratado Estoque E.Disp,stock,Sep (1),1285,2361,1809,1245,1196,2668,306.0,1285,
state,AM,Hidratado Estoque E.Disp,stock,Sep (2),1580,3114,1462,1743,1810,2759,65.0,2084,
state,AM,Hidratado Estoque E.Disp,stock,Oct (1),2471,4002,2144,2462,2930,3445,193.0,3447,
state,AM,Hidratado Estoque E.Disp,stock,Oct (2),2268,3755,3835,2905,3906,4054,473.0,4516,
state,AM,Hidratado Estoque E.Disp,stock,Nov (1),1451,3950,4502,3399,4485,3661,917.0,5181,
state,AM,Hidratado Estoque E.Disp,stock,Nov (2),343,4275,4741,4206,3935,3205,1147.0,6014,
state,AM,Hidratado Estoque E.Disp,stock,Dec (1),0,4004,4856,4821,3925,2250,550.0,6250,
state,AM,Hidratado Estoque E.Disp,stock,Dec (2),0,4004,4826,5143,3925,1588,157.0,6200,
state,AM,Hidratado Estoque E.Disp,stock,Jan (1),0,4004,4759,6109,3895,1075,88.0,6176,
state,AM,Hidratado Estoque E.Disp,stock,Jan (2),0,3514,4548,6353,3895,551,0.0,4180,
state,AM,Hidratado Estoque E.Disp,stock,Feb (1),0,2688,4459,6353,3895,23,0.0,2411,
state,AM,Hidratado Estoque E.Disp,stock,Feb (2),0,2259,3842,6293,3803,0,0.0,1430,
state,AM,Hidratado Estoque E.Disp,stock,Mar (1),0,1834,2680,6253,3114,0,0.0,1333,
state,AM,Hidratado Estoque E.Disp,stock,Mar (2),0,1297,2590,4265,3054,0,0.0,1075,
state,AM,Hidratado Estoque E.Fisico,stock,Apr (1),1365,0,994,2131,2143,2257,0.0,0,1001.0
state,AM,Hidratado Estoque E.Fisico,stock,Apr (2),642,0,675,625,23,1990,0.0,0,1001.0
state,AM,Hidratado Estoque E.Fisico,stock,May (1),358,0,556,555,23,1990,0.0,0,1001.0
state,AM,Hidratado Estoque E.Fisico,stock,May (2),358,0,188,495,0,1980,0.0,0,977.0
state,AM,Hidratado Estoque E.Fisico,stock,Jun (1),195,0,188,436,0,1980,0.0,0,205.0
state,AM,Hidratado Estoque E.Fisico,stock,Jun (2),0,0,0,371,0,1980,0.0,0,0.0
state,AM,Hidratado Estoque E.Fisico,stock,Jul (1),0,0,0,0,0,1980,0.0,0,0.0
state,AM,Hidratado Estoque E.Fisico,stock,Jul (2),106,551,110,0,0,1970,0.0,0,0.0
state,AM,Hidratado Estoque E.Fisico,stock,Aug (1),414,835,1414,0,0,1960,0.0,0,
state,AM,Hidratado Estoque E.Fisico,stock,Aug (2),1073,1776,1691,542,742,2157,449.0,570,
state,AM,Hidratado Estoque E.Fisico,stock,Sep (1),1285,2361,1809,1245,1196,2668,306.0,1285,
state,AM,Hidratado Estoque E.Fisico,stock,Sep (2),1580,3114,1462,1743,1810,2759,65.0,2084,
state,AM,Hidratado Estoque E.Fisico,stock,Oct (1),2471,4002,2144,2462,2930,3445,193.0,3447,
state,AM,Hidratado Estoque E.Fisico,stock,Oct (2),2268,3755,3835,2905,3906,4054,473.0,4516,
state,AM,Hidratado Estoque E.Fisico,stock,Nov (1),1451,3950,4502,3399,4485,3661,917.0,5181,
state,AM,Hidratado Estoque E.Fisico,stock,Nov (2),343,4275,4741,4206,3935,3205,1147.0,6014,
state,AM,Hidratado Estoque E.Fisico,stock,Dec (1),0,4004,4856,4821,3925,2250,550.0,6250,
state,AM,Hidratado Estoque E.Fisico,stock,Dec (2),0,4004,4826,5143,3925,1588,157.0,6200,
state,AM,Hidratado Estoque E.Fisico,stock,Jan (1),0,4004,4759,6109,3895,1075,88.0,6176,
state,AM,Hidratado Estoque E.Fisico,stock,Jan (2),0,3514,4548,6353,3895,551,0.0,4180,
state,AM,Hidratado Estoque E.Fisico,stock,Feb (1),0,2688,4459,6353,3895,23,0.0,2411,
state,AM,Hidratado Estoque E.Fisico,stock,Feb (2),0,2259,3842,6293,3803,0,0.0,1430,
state,AM,Hidratado Estoque E.Fisico,stock,Mar (1),0,1834,2680,6253,3114,0,0.0,1333,
state,AM,Hidratado Estoque E.Fisico,stock,Mar (2),0,1297,2590,4265,3054,0,0.0,1075,
state,AM,Hidratado Producao,flow,Apr (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,Apr (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,May (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,May (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,Jun (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,Jun (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,Jul (1),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,Jul (2),106,551,110,0,0,0,0.0,0,0.0
state,AM,Hidratado Producao,flow,Aug (1),564,284,1364,0,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Aug (2),753,949,899,572,772,1004,936.0,570,
state,AM,Hidratado Producao,flow,Sep (1),212,585,1011,852,464,531,859.0,715,
state,AM,Hidratado Producao,flow,Sep (2),299,753,1270,786,644,934,983.0,823,
state,AM,Hidratado Producao,flow,Oct (1),1219,1015,1070,749,1120,1445,1087.0,1363,
state,AM,Hidratado Producao,flow,Oct (2),1172,920,1750,523,1007,1183,1040.0,1089,
state,AM,Hidratado Producao,flow,Nov (1),1143,1474,667,829,579,1140,1244.0,1262,
state,AM,Hidratado Producao,flow,Nov (2),0,1293,338,896,0,568,1077.0,1247,
state,AM,Hidratado Producao,flow,Dec (1),0,992,530,645,0,0,204.0,315,
state,AM,Hidratado Producao,flow,Dec (2),0,0,0,535,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Jan (1),0,0,0,1035,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Jan (2),0,0,0,275,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Feb (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Feb (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Mar (1),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Producao,flow,Mar (2),0,0,0,0,0,0,0.0,0,
state,AM,Hidratado Saidas Distrib,flow,Apr (1),201,0,288,459,2122,797,0.0,0,74.0
state,AM,Hidratado Saidas Distrib,flow,Apr (2),723,0,318,1506,2120,188,0.0,0,0.0
state,AM,Hidratado Saidas Distrib,flow,May (1),284,0,119,60,0,0,0.0,0,0.0
state,AM,Hidratado Saidas Distrib,flow,May (2),0,0,368,60,0,0,0.0,0,0.0
state,AM,Hidratado Saidas Distrib,flow,Jun (1),163,0,0,59,0,0,0.0,0,772.0
state,AM,Hidratado Saidas Distrib,flow,Jun (2),195,0,188,60,0,0,0.0,0,178.0
state,AM,Hidratado Saidas Distrib,flow,Jul (1),0,0,0,360,0,0,0.0,0,0.0
state,AM,Hidratado Saidas Distrib,flow,Jul (2),0,0,0,0,0,0,0.0,0,0.0
state,AM,Hidratado Saidas Distrib,flow,Aug (1),256,0,60,0,0,10,0.0,0,
state,AM,Hidratado Saidas Distrib,flow,Aug (2),94,0,622,30,30,797,462.0,0,
state,AM,Hidratado Saidas Distrib,flow,Sep (1),0,0,893,149,0,0,1002.0,0,
state,AM,Hidratado Saidas Distrib,flow,Sep (2),0,0,1617,259,30,833,1135.0,0,
state,AM,Hidratado Saidas Distrib,flow,Oct (1),328,119,368,30,0,759,959.0,0,
state,AM,Hidratado Saidas Distrib,flow,Oct (2),1375,1157,59,60,30,564,736.0,0,
